timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1673903149342,369,HTTP Request,200,OK,usersOfW3school 1-2,text,true,,119681,119,11,11,https://www.w3schools.com/,303,0,245
1673903149420,301,HTTP Request,200,OK,usersOfW3school 1-4,text,true,,119681,119,10,10,https://www.w3schools.com/,238,0,179
1673903149382,366,HTTP Request,200,OK,usersOfW3school 1-3,text,true,,119681,119,10,10,https://www.w3schools.com/,296,0,235
1673903149300,444,HTTP Request,200,OK,usersOfW3school 1-1,text,true,,119681,119,10,10,https://www.w3schools.com/,374,0,313
1673903149460,306,HTTP Request,200,OK,usersOfW3school 1-5,text,true,,119681,119,8,8,https://www.w3schools.com/,240,0,180
1673903149502,266,HTTP Request,200,OK,usersOfW3school 1-6,text,true,,119681,119,7,7,https://www.w3schools.com/,202,0,140
1673903149580,258,HTTP Request,200,OK,usersOfW3school 1-8,text,true,,119681,119,8,8,https://www.w3schools.com/,195,0,135
1673903149540,299,HTTP Request,200,OK,usersOfW3school 1-7,text,true,,119681,119,7,7,https://www.w3schools.com/,193,0,133
1673903149620,299,HTTP Request,200,OK,usersOfW3school 1-9,text,true,,119681,119,8,8,https://www.w3schools.com/,196,0,136
1673903149700,259,HTTP Request,200,OK,usersOfW3school 1-11,text,true,,119681,119,8,8,https://www.w3schools.com/,196,0,137
1673903149661,301,HTTP Request,200,OK,usersOfW3school 1-10,text,true,,119681,119,7,7,https://www.w3schools.com/,194,0,136
1673903149742,248,HTTP Request,200,OK,usersOfW3school 1-12,text,true,,119681,119,7,7,https://www.w3schools.com/,186,0,129
1673903149781,260,HTTP Request,200,OK,usersOfW3school 1-13,text,true,,119681,119,7,7,https://www.w3schools.com/,196,0,136
1673903149821,247,HTTP Request,200,OK,usersOfW3school 1-14,text,true,,119681,119,7,7,https://www.w3schools.com/,187,0,129
1673903149901,250,HTTP Request,200,OK,usersOfW3school 1-16,text,true,,119681,119,8,8,https://www.w3schools.com/,189,0,131
1673903149860,293,HTTP Request,200,OK,usersOfW3school 1-15,text,true,,119681,119,7,7,https://www.w3schools.com/,191,0,132
1673903149940,265,HTTP Request,200,OK,usersOfW3school 1-17,text,true,,119681,119,7,7,https://www.w3schools.com/,202,0,144
1673903149982,255,HTTP Request,200,OK,usersOfW3school 1-18,text,true,,119681,119,7,7,https://www.w3schools.com/,192,0,134
1673903150023,253,HTTP Request,200,OK,usersOfW3school 1-19,text,true,,119681,119,7,7,https://www.w3schools.com/,191,0,131
1673903150060,297,HTTP Request,200,OK,usersOfW3school 1-20,text,true,,119681,119,8,8,https://www.w3schools.com/,195,0,134
1673903150140,249,HTTP Request,200,OK,usersOfW3school 1-22,text,true,,119681,119,8,8,https://www.w3schools.com/,188,0,129
